Credit URL Caption Type exptID 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Rothamsted-sunny-day.jpg" "Rothamsted-sunny-day" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Rothamsted-windy-day-2.jpg" "Rothamsted-windy-day-2" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Rothamsted-windy-day.jpg" "Rothamsted-windy-day" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Rothgrassmin.jpg" "Rothgrassmin" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Soildrains.jpg" "Soildrains" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2007.pdf" "Weather-Reports-2007.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2008.pdf" "Weather-Reports-2008.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2009.pdf" "Weather-Reports-2009.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2010.pdf" "Weather-Reports-2010.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2011.pdf" "Weather-Reports-2011.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2012.pdf" "Weather-Reports-2012.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2013.pdf" "Weather-Reports-2013.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2014.pdf" "Weather-Reports-2014.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2015.pdf" "Weather-Reports-2015.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Weather-Reports-2016.pdf" "Weather-Reports-2016.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/WindInstruments.jpg" "WindInstruments" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/WindInstrumentscloseup.jpg" "WindInstrumentscloseup" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/anemometer.gif" "anemometer.gif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/met.jpg" "met" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/met2.jpg" "met2" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/misty-day-Rothamsted.jpg" "misty-day-Rothamsted" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/new-thousandth-acre-gauge.jpg" "new-thousandth-acre-gauge" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/rain-gauge.jpg" "rain-gauge" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/rainbow-ianfrancis.jpg" "rainbow-ianfrancis" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/rainbow.jpg" "rainbow" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/rainy-day-at-Rothamsted.tif" "rainy-day-at-Rothamsted.tif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/rainy-day-at-Rothamsted2.PNG" "rainy-day-at-Rothamsted2.PNG" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/snowy-day-at-Rothamsted-landscape.jpg" "snowy-day-at-Rothamsted-landscape" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/snowy-day-at-Rothamsted-portrait.jpg" "snowy-day-at-Rothamsted-portrait" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/soilsmap-orig.png" "soilsmap-orig.png" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/soilsmap-ty.png" "soilsmap-ty.png" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/solar.gif" "solar.gif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/stevenson.jpg" "stevenson" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/stevenson2.jpg" "stevenson2" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/sun-recorder.jpg" "sun-recorder" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/sunny-day-at-Rothamsted.jpg" "sunny-day-at-Rothamsted" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/sunny-day.jpg" "sunny-day" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/thermometers.jpg" "thermometers" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/thermometr-and-logger.jpg" "thermometr-and-logger" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-1623-map.jpg" "ty-1623-map" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-5raingaugeandturfwall.jpg" "ty-5raingaugeandturfwall" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-InsideStevenson.jpg" "ty-InsideStevenson" "Other" "met" 
